id,location,address,phone,longitude,latitude,url
1,別府市役所,別府市上野口町１番１５号,0977-21-1111,131.491335,33.284633,http://www.city.beppu.oita.jp/
2,別府市役所 南部出張所,別府市千代町１番８号,0977-25-1531,131.503655,33.274525,http://www.city.beppu.oita.jp/06sisetu/annai/04siyakusyo/04-04nanbu.html
3,別府市役所 朝日出張所,別府市火売１組,0977‐67-1218,131.475127,33.313575,http://www.city.beppu.oita.jp/06sisetu/annai/04siyakusyo/04-03asahi.html
4,別府商業高等学校,別府市大字別府３０８８番地４４,0977‐24‐1441,131.483989,33.287311,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-40beppusyou-high.html
5,山の手中学校,別府市山の手町１番５３号,0977-22-5345,131.488173,33.280001,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-17yamanote-tyu.html
6,青山中学校,別府市大字別府３０８８番地１,0977-22-4275,131.482771,33.289234,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-18aoyama-tyu.html
7,中部中学校,別府市大字鶴見４５３０番地１,0977-22-4295,131.490126,33.292521,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-19tyubu-tyu.html
8,北部中学校,別府市大字亀川２３１番地,0977-67-2195,131.488216,33.326181,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-20hokubu-tyu.html
9,浜脇中学校,別府市大字浜脇１２０８番地,0977-22-4285,131.507721,33.267829,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-21hamawaki-tyu.html
10,朝日中学校,別府市大字鶴見９５０番地５,0977-67-1278,131.466171,33.311002,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-22asahi-tyu.html
11,東山中学校,別府市大字別府４３８０番地１,0977-27-5010,131.448873,33.267201,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-1602higasiyama-tyu.html
12,鶴見台中学校,別府市大字鶴見３６８２番地３,0977-23-7441,131.489104,33.299792,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-23turumidai-tyu.html
13,中央公民館,別府市上田の湯町６番３７号,0977-22-4118,131.496831,33.277072,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-01tyuou.html
14,西部地区公民館,別府市鶴見園町５組,0977-23-7330,131.480566,33.285638,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-03seibu.html
15,南部地区公民館,別府市浜脇１丁目８番２０号,0977-21-3401,131.508432,33.269656,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-05nanbu.html
16,中部地区公民館,別府市南須賀２組,0977-25-4321,131.490193,33.30191,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-04tyubu.html
17,北部地区公民館,別府市上人ヶ浜町６番５４号,0977-67-8300,131.499393,33.319699,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-02hokubu.html
18,朝日大平山地区公民館,別府市火売８組,0977-66-1150,131.467777,33.308572,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-06asahi.html
19,別府国際コンベンションセンター,別府市山の手町１２番１号,0977-26-7111,131.486928,33.28297,http://www.city.beppu.oita.jp/06sisetu/annai/10kurasi/10-12bcon.html
20,別府競輪場,別府市亀川東町１番３６号,0977-67-5578,131.497826,33.322492,http://www.city.beppu.oita.jp/06sisetu/annai/06syoukou/06-06keirin.html
21,市営鉄輪（かんなわ）むし湯,別府市鉄輪上１組,0977-67-3880,131.478058,33.316353,http://www.city.beppu.oita.jp/06sisetu/annai/11kankou/11-09kannawa.html
22,実相寺中央公園管理棟,別府市大字鶴見３７６３番地,0977-26-0535,131.486129,33.298319,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-03jissouji.html
23,別府市総合体育館（べっぷアリーナ）,別府市青山町８番３７号,0977-21-2323,131.492153,33.277987,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-01arena.html
24,公園テニスコート管理棟,別府市青山町７番２７号,0977-25-8293,131.491735,33.278826,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-11tennis.html
25,弓道場,別府市大字鶴見３８０１ー２０,0977-21-1111,131.484354,33.298601,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-15kyudou.html
26,市営青山プール管理棟,別府市大字別府３０８８ー１,0977-26-0535,131.484045,33.288411,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-05aoyama-pool.html
27,市営実相寺球場,別府市大字鶴見３７０８,0977-26-0535,131.488044,33.29922,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-18jissouji-base.html
28,市民球場,別府市大字鶴見３７０８,0977-26-0535,131.487862,33.301139,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-21siminkyujo.html
29,別府市営温水プール,別府市大字別府３０８８番地９,0977-25-3633,131.489171,33.285279,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-06onsui-pool.html
30,別府市民体育館,別府市大字別府３０１６番地１,0977-26-0535,131.488935,33.284584,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-04simin.html
31,野口原総合運動場管理棟,別府市大字野口原３０８８ー９,0977-26-0535,131.488087,33.286176,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-02nogutibaru.html
32,ヨット艇庫事務室,別府市北浜１丁目８１８ー３９０,0977‐21‐1111,131.507418,33.277716,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-20yotto.html
33,少年自然の家「おじか」,別府市大字別府小鹿４３７４（枝郷１組）,0977-25-4950,131.474762,33.256202,http://www.city.beppu.oita.jp/06sisetu/annai/09community/09-05ojika.html
34,社会福祉会館,別府市上田の湯１５ー４０,0977-26-6070,131.49424,33.279485,http://www.city.beppu.oita.jp/06sisetu/annai/08fukusi/08-01fukusikaika.html
35,別府市消防本部,別府市上野口町１９番２７号,0977-25-1122,131.488827,33.288252,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-01honbu.html
36,消防署 浜町出張所,別府市浜町８番６号,0977-22-3504,131.507144,33.273446,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-02hamamati.html
37,消防署 亀川出張所,別府市亀川東町２６番８号,0977-66-0913,131.494852,33.327646,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-03kamegawa.html
38,消防署 朝日出張所,別府市火売１０組,0977-66-2606,131.466825,33.311672,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-04asahi.html
39,東部保健所,別府市大字鶴見字下田井１４ー１,0977‐67‐2511,131.485314,33.31076,
40,別府警察署,別府市田の湯町１３番１３号,0977‐21‐2131,131.497824,33.279781,
41,大分県立鶴見丘高等学校,別府市大字鶴見字横打４４３３の２,0977‐21‐0118,131.489997,33.294342,
42,大分県立青山高等学校,別府市野口原３０８８ー９１,0977‐22‐3141,131.485276,33.288046,
43,大分県立羽室台高等学校,別府市大字野田５６５番地,0977‐66‐5067,131.486843,33.321142,
44,大分県立別府支援学校,別府市鶴見４２２４番地,0977‐24‐0108,131.480062,33.294718,
45,大分県立鶴見支援学校,別府市大字鶴見４０７５番地の１２,0977‐21‐1349,131.477948,33.294709,
46,大分県立別府支援学校石垣原校,別府市大字鶴見４０７５の２９３,0977‐24‐6060,131.475073,33.294682,
47,大分県立南石垣支援学校,別府市石垣西１丁目２番５号,0977‐23‐3454,131.493977,33.28984,
48,大分県立生涯教育センター,別府市大字別府字野口原３０３０の１,0977‐22‐7763,131.487336,33.284261,
49,竹工芸・訓練支援センター,別府市東荘園３ー３,0977‐23‐3609,131.487685,33.291889,
50,別府市水道局,別府市野口原３０８８,0977-23-0361,131.490061,33.285266,
51,別府医療センター,別府市内竈１４７３,0977-66-1111,131.48665,33.331998,
52,堀田温泉,別府市堀田２組,0977-24-9418,131.461115,33.288378,
53,竹瓦温泉,別府市元町１６－２３,0977-23-1585,131.505817,33.277382,
54,市立青山小学校,別府市青山町５－６８,0977-21-0631,131.493709,33.278252,
55,市立朝日小学校,別府市火売４組,0977-67-1353,131.475363,33.309478,
56,市立大平山小学校,別府市竹の内,0977-25-3766,131.46693,33.3013,
